,air_store_id,visit_date,reserve_visitors
93,air_0164b9927d20bcc3,2017-05-01,3
94,air_0164b9927d20bcc3,2017-05-02,2
95,air_0164b9927d20bcc3,2017-05-05,2
96,air_0164b9927d20bcc3,2017-05-09,3
97,air_0164b9927d20bcc3,2017-05-13,10
98,air_034a3d5b40d5b1b1,2016-10-29,3
99,air_034a3d5b40d5b1b1,2016-11-02,2
100,air_034a3d5b40d5b1b1,2016-11-05,4
101,air_034a3d5b40d5b1b1,2016-11-10,2
102,air_034a3d5b40d5b1b1,2016-11-12,2
103,air_034a3d5b40d5b1b1,2017-01-06,5
104,air_034a3d5b40d5b1b1,2017-02-03,3
105,air_034a3d5b40d5b1b1,2017-02-14,5
106,air_034a3d5b40d5b1b1,2017-02-19,50
107,air_034a3d5b40d5b1b1,2017-02-26,9
108,air_034a3d5b40d5b1b1,2017-03-12,3
109,air_034a3d5b40d5b1b1,2017-03-18,3
110,air_034a3d5b40d5b1b1,2017-04-08,2
111,air_03963426c9312048,2016-01-07,17
112,air_03963426c9312048,2016-01-08,62
113,air_03963426c9312048,2016-01-09,54
114,air_03963426c9312048,2016-01-10,15
115,air_03963426c9312048,2016-01-11,24
116,air_03963426c9312048,2016-01-12,16
117,air_03963426c9312048,2016-01-13,6
118,air_03963426c9312048,2016-01-14,17
119,air_03963426c9312048,2016-01-15,70
120,air_03963426c9312048,2016-01-16,14
121,air_03963426c9312048,2016-01-17,36
122,air_03963426c9312048,2016-01-18,31
123,air_03963426c9312048,2016-01-20,10
124,air_03963426c9312048,2016-01-21,39
125,air_03963426c9312048,2016-01-22,53
126,air_03963426c9312048,2016-01-23,61
127,air_03963426c9312048,2016-01-24,9
128,air_03963426c9312048,2016-01-25,34
129,air_03963426c9312048,2016-01-26,39
130,air_03963426c9312048,2016-01-27,14
131,air_03963426c9312048,2016-01-28,32
132,air_03963426c9312048,2016-01-29,53
133,air_03963426c9312048,2016-01-30,65
134,air_03963426c9312048,2016-01-31,14
135,air_03963426c9312048,2016-02-01,14
136,air_03963426c9312048,2016-02-02,24
137,air_03963426c9312048,2016-02-03,2
138,air_03963426c9312048,2016-02-04,2
139,air_03963426c9312048,2016-02-06,58
140,air_03963426c9312048,2016-02-07,5
141,air_03963426c9312048,2016-02-10,32
142,air_03963426c9312048,2016-02-11,15
143,air_03963426c9312048,2016-02-12,60
144,air_03963426c9312048,2016-02-13,43
145,air_03963426c9312048,2016-02-14,10
146,air_03963426c9312048,2016-02-16,8
147,air_03963426c9312048,2016-02-17,8
148,air_03963426c9312048,2016-02-18,28
149,air_03963426c9312048,2016-02-19,53
150,air_03963426c9312048,2016-02-20,7
151,air_03963426c9312048,2016-02-21,2
152,air_03963426c9312048,2016-02-22,2
153,air_03963426c9312048,2016-02-24,30
154,air_03963426c9312048,2016-02-26,29
155,air_03963426c9312048,2016-02-27,70
156,air_03963426c9312048,2016-02-28,3
157,air_03963426c9312048,2016-03-01,9
158,air_03963426c9312048,2016-03-02,19
159,air_03963426c9312048,2016-03-03,4
160,air_03963426c9312048,2016-03-04,36
161,air_03963426c9312048,2016-03-05,35
162,air_03963426c9312048,2016-03-06,16
163,air_03963426c9312048,2016-03-07,19
164,air_03963426c9312048,2016-03-08,34
165,air_03963426c9312048,2016-03-09,42
166,air_03963426c9312048,2016-03-10,13
167,air_03963426c9312048,2016-03-11,59
168,air_03963426c9312048,2016-03-13,20
169,air_03963426c9312048,2016-03-14,25
170,air_03963426c9312048,2016-03-15,7
171,air_03963426c9312048,2016-03-16,13
172,air_03963426c9312048,2016-03-17,44
173,air_03963426c9312048,2016-03-18,91
174,air_03963426c9312048,2016-03-19,64
175,air_03963426c9312048,2016-03-20,19
176,air_03963426c9312048,2016-03-22,34
177,air_03963426c9312048,2016-03-23,57
178,air_03963426c9312048,2016-03-24,62
179,air_03963426c9312048,2016-03-25,72
180,air_03963426c9312048,2016-03-26,45
181,air_03963426c9312048,2016-03-27,2
182,air_03963426c9312048,2016-03-28,21
183,air_03963426c9312048,2016-03-29,36
184,air_03963426c9312048,2016-03-30,38
185,air_03963426c9312048,2016-04-01,16
186,air_03963426c9312048,2016-04-02,23
187,air_03963426c9312048,2016-04-03,10
188,air_03963426c9312048,2016-04-04,25
189,air_03963426c9312048,2016-04-05,22
190,air_03963426c9312048,2016-04-06,43
191,air_03963426c9312048,2016-04-07,26
192,air_03963426c9312048,2016-04-08,62
193,air_03963426c9312048,2016-04-09,27
194,air_03963426c9312048,2016-04-10,15
195,air_03963426c9312048,2016-04-11,35
196,air_03963426c9312048,2016-04-13,23
197,air_03963426c9312048,2016-04-14,43
198,air_03963426c9312048,2016-04-15,27
199,air_03963426c9312048,2016-04-16,27
200,air_03963426c9312048,2016-04-17,4
201,air_03963426c9312048,2016-04-18,10
202,air_03963426c9312048,2016-04-19,11
203,air_03963426c9312048,2016-04-21,27
204,air_03963426c9312048,2016-04-22,73
205,air_03963426c9312048,2016-04-23,42
206,air_03963426c9312048,2016-04-24,16
207,air_03963426c9312048,2016-04-26,35
208,air_03963426c9312048,2016-04-27,27
209,air_03963426c9312048,2016-04-28,65
210,air_03963426c9312048,2016-04-29,32
211,air_03963426c9312048,2016-04-30,32
212,air_03963426c9312048,2016-05-01,25
213,air_03963426c9312048,2016-05-02,4
214,air_03963426c9312048,2016-05-03,23
215,air_03963426c9312048,2016-05-04,17
216,air_03963426c9312048,2016-05-05,4
217,air_03963426c9312048,2016-05-06,32
218,air_03963426c9312048,2016-05-07,19
219,air_03963426c9312048,2016-05-08,7
220,air_03963426c9312048,2016-05-10,7
221,air_03963426c9312048,2016-05-11,41
222,air_03963426c9312048,2016-05-12,32
223,air_03963426c9312048,2016-05-13,48
224,air_03963426c9312048,2016-05-14,48
225,air_03963426c9312048,2016-05-15,24
226,air_03963426c9312048,2016-05-17,16
227,air_03963426c9312048,2016-05-19,10
228,air_03963426c9312048,2016-05-21,46
229,air_03963426c9312048,2016-05-22,12
230,air_03963426c9312048,2016-05-23,7
231,air_03963426c9312048,2016-10-27,42
232,air_03963426c9312048,2016-10-28,54
233,air_03963426c9312048,2016-10-29,4
234,air_03963426c9312048,2016-10-31,12
235,air_03963426c9312048,2016-11-01,12
236,air_03963426c9312048,2016-11-02,21
237,air_03963426c9312048,2016-11-03,2
238,air_03963426c9312048,2016-11-04,52
239,air_03963426c9312048,2016-11-05,54
240,air_03963426c9312048,2016-11-07,8
241,air_03963426c9312048,2016-11-08,9
242,air_03963426c9312048,2016-11-09,28
243,air_03963426c9312048,2016-11-10,10
244,air_03963426c9312048,2016-11-11,8
245,air_03963426c9312048,2016-11-12,53
246,air_03963426c9312048,2016-11-14,5
247,air_03963426c9312048,2016-11-15,3
248,air_03963426c9312048,2016-11-16,5
249,air_03963426c9312048,2016-11-17,14
250,air_03963426c9312048,2016-11-18,53
251,air_03963426c9312048,2016-11-19,54
252,air_03963426c9312048,2016-11-21,5
253,air_03963426c9312048,2016-11-22,49
254,air_03963426c9312048,2016-11-23,2
255,air_03963426c9312048,2016-11-24,8
256,air_03963426c9312048,2016-11-25,78
257,air_03963426c9312048,2016-11-28,20
258,air_03963426c9312048,2016-11-29,3
259,air_03963426c9312048,2016-11-30,26
260,air_03963426c9312048,2016-12-01,21
261,air_03963426c9312048,2016-12-02,64
262,air_03963426c9312048,2016-12-03,4
263,air_03963426c9312048,2016-12-05,7
264,air_03963426c9312048,2016-12-06,10
265,air_03963426c9312048,2016-12-07,49
266,air_03963426c9312048,2016-12-08,31
267,air_03963426c9312048,2016-12-09,22
268,air_03963426c9312048,2016-12-10,62
269,air_03963426c9312048,2016-12-12,22
270,air_03963426c9312048,2016-12-13,23
271,air_03963426c9312048,2016-12-14,4
272,air_03963426c9312048,2016-12-15,65
273,air_03963426c9312048,2016-12-16,30
274,air_03963426c9312048,2016-12-17,22
275,air_03963426c9312048,2016-12-19,44
276,air_03963426c9312048,2016-12-20,17
277,air_03963426c9312048,2016-12-21,48
278,air_03963426c9312048,2016-12-22,69
279,air_03963426c9312048,2016-12-23,39
280,air_03963426c9312048,2016-12-24,24
281,air_03963426c9312048,2016-12-26,24
282,air_03963426c9312048,2016-12-27,11
283,air_03963426c9312048,2016-12-28,37
284,air_03963426c9312048,2016-12-29,83
285,air_03963426c9312048,2016-12-30,9
286,air_03963426c9312048,2017-01-03,23
287,air_03963426c9312048,2017-01-04,5
288,air_03963426c9312048,2017-01-05,4
289,air_03963426c9312048,2017-01-06,36
290,air_03963426c9312048,2017-01-07,59
291,air_03963426c9312048,2017-01-09,5
292,air_03963426c9312048,2017-01-10,23
293,air_03963426c9312048,2017-01-11,14
294,air_03963426c9312048,2017-01-12,37
295,air_03963426c9312048,2017-01-13,39
296,air_03963426c9312048,2017-01-14,63
297,air_03963426c9312048,2017-01-16,11
298,air_03963426c9312048,2017-01-17,37
299,air_03963426c9312048,2017-01-19,2
300,air_03963426c9312048,2017-01-20,70
301,air_03963426c9312048,2017-01-21,51
302,air_03963426c9312048,2017-01-23,33
303,air_03963426c9312048,2017-01-24,6
304,air_03963426c9312048,2017-01-25,33
305,air_03963426c9312048,2017-01-26,14
306,air_03963426c9312048,2017-01-27,49
307,air_03963426c9312048,2017-01-28,63
308,air_03963426c9312048,2017-01-30,24
309,air_03963426c9312048,2017-01-31,6
310,air_03963426c9312048,2017-02-01,2
311,air_03963426c9312048,2017-02-02,29
312,air_03963426c9312048,2017-02-03,40
313,air_03963426c9312048,2017-02-04,25
314,air_03963426c9312048,2017-02-06,34
315,air_03963426c9312048,2017-02-07,18
316,air_03963426c9312048,2017-02-08,18
317,air_03963426c9312048,2017-02-09,17
318,air_03963426c9312048,2017-02-10,60
319,air_03963426c9312048,2017-02-11,62
320,air_03963426c9312048,2017-02-13,12
321,air_03963426c9312048,2017-02-14,27
322,air_03963426c9312048,2017-02-15,19
323,air_03963426c9312048,2017-02-16,7
324,air_03963426c9312048,2017-02-17,42
325,air_03963426c9312048,2017-02-18,60
326,air_03963426c9312048,2017-02-20,15
327,air_03963426c9312048,2017-02-21,35
328,air_03963426c9312048,2017-02-22,21
329,air_03963426c9312048,2017-02-23,6
330,air_03963426c9312048,2017-02-24,47
331,air_03963426c9312048,2017-02-25,53
332,air_03963426c9312048,2017-02-27,32
333,air_03963426c9312048,2017-02-28,17
334,air_03963426c9312048,2017-03-01,24
335,air_03963426c9312048,2017-03-02,20
336,air_03963426c9312048,2017-03-03,51
337,air_03963426c9312048,2017-03-04,47
338,air_03963426c9312048,2017-03-06,3
339,air_03963426c9312048,2017-03-07,16
340,air_03963426c9312048,2017-03-08,22
341,air_03963426c9312048,2017-03-09,27
342,air_03963426c9312048,2017-03-10,54
343,air_03963426c9312048,2017-03-11,15
344,air_03963426c9312048,2017-03-13,23
345,air_03963426c9312048,2017-03-14,6
346,air_03963426c9312048,2017-03-15,18
347,air_03963426c9312048,2017-03-16,53
348,air_03963426c9312048,2017-03-17,53
349,air_03963426c9312048,2017-03-18,35
350,air_03963426c9312048,2017-03-19,23
351,air_03963426c9312048,2017-03-21,23
352,air_03963426c9312048,2017-03-22,23
353,air_03963426c9312048,2017-03-23,34
354,air_03963426c9312048,2017-03-24,78
355,air_03963426c9312048,2017-03-25,68
356,air_03963426c9312048,2017-03-27,30
357,air_03963426c9312048,2017-03-28,9
358,air_03963426c9312048,2017-03-29,29
359,air_03963426c9312048,2017-03-30,35
360,air_03963426c9312048,2017-03-31,41
361,air_03963426c9312048,2017-04-01,32
362,air_03963426c9312048,2017-04-03,15
363,air_03963426c9312048,2017-04-04,31
364,air_03963426c9312048,2017-04-06,12
365,air_03963426c9312048,2017-04-07,71
366,air_03963426c9312048,2017-04-08,58
367,air_03963426c9312048,2017-04-10,26
368,air_03963426c9312048,2017-04-11,14
369,air_03963426c9312048,2017-04-12,40
370,air_03963426c9312048,2017-04-13,33
371,air_03963426c9312048,2017-04-14,68
372,air_03963426c9312048,2017-04-15,70
373,air_03963426c9312048,2017-04-17,32
374,air_03963426c9312048,2017-04-18,26
375,air_03963426c9312048,2017-04-19,18
376,air_03963426c9312048,2017-04-20,21
377,air_03963426c9312048,2017-04-21,75
378,air_03963426c9312048,2017-04-22,55
379,air_03963426c9312048,2017-04-24,8
380,air_03963426c9312048,2017-04-26,24
381,air_03963426c9312048,2017-04-27,2
382,air_03963426c9312048,2017-04-28,32
383,air_03963426c9312048,2017-04-29,22
384,air_03963426c9312048,2017-05-01,28
385,air_03963426c9312048,2017-05-02,20
386,air_03963426c9312048,2017-05-03,4
387,air_03963426c9312048,2017-05-04,2
388,air_03963426c9312048,2017-05-05,2
389,air_03963426c9312048,2017-05-06,4
390,air_03963426c9312048,2017-05-08,17
391,air_03963426c9312048,2017-05-12,21
392,air_03963426c9312048,2017-05-15,5
393,air_03963426c9312048,2017-05-19,35
394,air_03963426c9312048,2017-05-26,31
395,air_04341b588bde96cd,2016-11-02,29
396,air_04341b588bde96cd,2016-11-03,15
397,air_04341b588bde96cd,2016-11-05,36
398,air_04341b588bde96cd,2016-11-09,12
399,air_04341b588bde96cd,2016-11-13,6
400,air_04341b588bde96cd,2016-11-16,16
401,air_04341b588bde96cd,2016-11-19,37
402,air_04341b588bde96cd,2016-11-22,10
403,air_04341b588bde96cd,2016-11-24,24
404,air_04341b588bde96cd,2016-12-05,10
405,air_04341b588bde96cd,2016-12-23,13
406,air_04cae7c1bc9b2a0b,2016-10-27,4
407,air_04cae7c1bc9b2a0b,2016-10-28,23
408,air_04cae7c1bc9b2a0b,2016-10-29,26
409,air_04cae7c1bc9b2a0b,2016-10-30,7
410,air_04cae7c1bc9b2a0b,2016-10-31,13
411,air_04cae7c1bc9b2a0b,2016-11-01,8
412,air_04cae7c1bc9b2a0b,2016-11-02,19
413,air_04cae7c1bc9b2a0b,2016-11-03,5
414,air_04cae7c1bc9b2a0b,2016-11-04,25
415,air_04cae7c1bc9b2a0b,2016-11-05,26
416,air_04cae7c1bc9b2a0b,2016-11-06,12
417,air_04cae7c1bc9b2a0b,2016-11-07,4
418,air_04cae7c1bc9b2a0b,2016-11-09,11
419,air_04cae7c1bc9b2a0b,2016-11-10,7
420,air_04cae7c1bc9b2a0b,2016-11-11,5
421,air_04cae7c1bc9b2a0b,2016-11-12,37
422,air_04cae7c1bc9b2a0b,2016-11-13,11
423,air_04cae7c1bc9b2a0b,2016-11-14,2
424,air_04cae7c1bc9b2a0b,2016-11-15,4
425,air_04cae7c1bc9b2a0b,2016-11-16,14
426,air_04cae7c1bc9b2a0b,2016-11-17,24
427,air_04cae7c1bc9b2a0b,2016-11-18,21
428,air_04cae7c1bc9b2a0b,2016-11-19,34
429,air_04cae7c1bc9b2a0b,2016-11-20,22
430,air_04cae7c1bc9b2a0b,2016-11-22,6
431,air_04cae7c1bc9b2a0b,2016-11-23,3
432,air_04cae7c1bc9b2a0b,2016-11-24,5
433,air_04cae7c1bc9b2a0b,2016-11-25,28
434,air_04cae7c1bc9b2a0b,2016-11-26,24
435,air_04cae7c1bc9b2a0b,2016-11-27,9
436,air_04cae7c1bc9b2a0b,2016-11-28,3
437,air_04cae7c1bc9b2a0b,2016-11-29,6
438,air_04cae7c1bc9b2a0b,2016-11-30,18
439,air_04cae7c1bc9b2a0b,2016-12-01,13
440,air_04cae7c1bc9b2a0b,2016-12-02,22
441,air_04cae7c1bc9b2a0b,2016-12-03,30
442,air_04cae7c1bc9b2a0b,2016-12-04,6
443,air_04cae7c1bc9b2a0b,2016-12-05,9
444,air_04cae7c1bc9b2a0b,2016-12-07,15
445,air_04cae7c1bc9b2a0b,2016-12-09,19
446,air_04cae7c1bc9b2a0b,2016-12-10,37
447,air_04cae7c1bc9b2a0b,2016-12-11,7
448,air_04cae7c1bc9b2a0b,2016-12-12,4
449,air_04cae7c1bc9b2a0b,2016-12-13,16
450,air_04cae7c1bc9b2a0b,2016-12-14,17
451,air_04cae7c1bc9b2a0b,2016-12-15,14
452,air_04cae7c1bc9b2a0b,2016-12-16,23
453,air_04cae7c1bc9b2a0b,2016-12-17,36
454,air_04cae7c1bc9b2a0b,2016-12-18,4
455,air_04cae7c1bc9b2a0b,2016-12-19,4
456,air_04cae7c1bc9b2a0b,2016-12-20,12
457,air_04cae7c1bc9b2a0b,2016-12-21,10
458,air_04cae7c1bc9b2a0b,2016-12-22,42
459,air_04cae7c1bc9b2a0b,2016-12-23,23
460,air_04cae7c1bc9b2a0b,2016-12-24,24
461,air_04cae7c1bc9b2a0b,2016-12-25,3
462,air_04cae7c1bc9b2a0b,2016-12-26,42
463,air_04cae7c1bc9b2a0b,2016-12-27,42
464,air_04cae7c1bc9b2a0b,2016-12-28,38
465,air_04cae7c1bc9b2a0b,2016-12-29,52
466,air_04cae7c1bc9b2a0b,2016-12-30,48
467,air_04cae7c1bc9b2a0b,2017-01-01,19
468,air_04cae7c1bc9b2a0b,2017-01-02,31
469,air_04cae7c1bc9b2a0b,2017-01-03,19
470,air_04cae7c1bc9b2a0b,2017-01-04,7
471,air_04cae7c1bc9b2a0b,2017-01-05,12
472,air_04cae7c1bc9b2a0b,2017-01-06,21
473,air_04cae7c1bc9b2a0b,2017-01-07,25
474,air_04cae7c1bc9b2a0b,2017-01-12,4
475,air_04cae7c1bc9b2a0b,2017-01-13,28
476,air_04cae7c1bc9b2a0b,2017-01-14,17
477,air_04cae7c1bc9b2a0b,2017-01-15,6
478,air_04cae7c1bc9b2a0b,2017-01-17,2
479,air_04cae7c1bc9b2a0b,2017-01-18,21
480,air_04cae7c1bc9b2a0b,2017-01-19,9
481,air_04cae7c1bc9b2a0b,2017-01-20,26
482,air_04cae7c1bc9b2a0b,2017-01-21,34
483,air_04cae7c1bc9b2a0b,2017-01-22,6
484,air_04cae7c1bc9b2a0b,2017-01-23,26
485,air_04cae7c1bc9b2a0b,2017-01-24,2
486,air_04cae7c1bc9b2a0b,2017-01-25,4
487,air_04cae7c1bc9b2a0b,2017-01-26,11
488,air_04cae7c1bc9b2a0b,2017-01-27,33
489,air_04cae7c1bc9b2a0b,2017-01-28,36
490,air_04cae7c1bc9b2a0b,2017-01-29,2
491,air_04cae7c1bc9b2a0b,2017-01-30,9
492,air_04cae7c1bc9b2a0b,2017-01-31,14
493,air_04cae7c1bc9b2a0b,2017-02-01,7
494,air_04cae7c1bc9b2a0b,2017-02-02,12
495,air_04cae7c1bc9b2a0b,2017-02-03,13
496,air_04cae7c1bc9b2a0b,2017-02-04,37
497,air_04cae7c1bc9b2a0b,2017-02-05,14
498,air_04cae7c1bc9b2a0b,2017-02-06,7
499,air_04cae7c1bc9b2a0b,2017-02-09,2
500,air_04cae7c1bc9b2a0b,2017-02-10,29
501,air_04cae7c1bc9b2a0b,2017-02-11,38
502,air_04cae7c1bc9b2a0b,2017-02-12,6
503,air_04cae7c1bc9b2a0b,2017-02-13,18
504,air_04cae7c1bc9b2a0b,2017-02-15,2
505,air_04cae7c1bc9b2a0b,2017-02-17,13
506,air_04cae7c1bc9b2a0b,2017-02-18,21
507,air_04cae7c1bc9b2a0b,2017-02-19,20
508,air_04cae7c1bc9b2a0b,2017-02-20,6
509,air_04cae7c1bc9b2a0b,2017-02-21,2
510,air_04cae7c1bc9b2a0b,2017-02-22,6
511,air_04cae7c1bc9b2a0b,2017-02-24,28
512,air_04cae7c1bc9b2a0b,2017-02-25,36
513,air_04cae7c1bc9b2a0b,2017-02-26,16
514,air_04cae7c1bc9b2a0b,2017-02-27,7
515,air_04cae7c1bc9b2a0b,2017-02-28,9
516,air_04cae7c1bc9b2a0b,2017-03-01,4
517,air_04cae7c1bc9b2a0b,2017-03-02,4
518,air_04cae7c1bc9b2a0b,2017-03-03,15
519,air_04cae7c1bc9b2a0b,2017-03-04,36
520,air_04cae7c1bc9b2a0b,2017-03-05,19
521,air_04cae7c1bc9b2a0b,2017-03-06,2
522,air_04cae7c1bc9b2a0b,2017-03-07,2
523,air_04cae7c1bc9b2a0b,2017-03-08,13
524,air_04cae7c1bc9b2a0b,2017-03-09,6
525,air_04cae7c1bc9b2a0b,2017-03-10,9
526,air_04cae7c1bc9b2a0b,2017-03-11,30
527,air_04cae7c1bc9b2a0b,2017-03-12,10
528,air_04cae7c1bc9b2a0b,2017-03-14,2
529,air_04cae7c1bc9b2a0b,2017-03-15,3
530,air_04cae7c1bc9b2a0b,2017-03-16,9
531,air_04cae7c1bc9b2a0b,2017-03-17,13
532,air_04cae7c1bc9b2a0b,2017-03-18,23
533,air_04cae7c1bc9b2a0b,2017-03-19,19
534,air_04cae7c1bc9b2a0b,2017-03-20,7
535,air_04cae7c1bc9b2a0b,2017-03-21,13
536,air_04cae7c1bc9b2a0b,2017-03-22,9
537,air_04cae7c1bc9b2a0b,2017-03-24,34
538,air_04cae7c1bc9b2a0b,2017-03-25,37
539,air_04cae7c1bc9b2a0b,2017-03-26,6
540,air_04cae7c1bc9b2a0b,2017-03-27,7
541,air_04cae7c1bc9b2a0b,2017-03-28,6
542,air_04cae7c1bc9b2a0b,2017-03-29,6
543,air_04cae7c1bc9b2a0b,2017-03-31,25
544,air_04cae7c1bc9b2a0b,2017-04-01,36
545,air_04cae7c1bc9b2a0b,2017-04-02,2
546,air_04cae7c1bc9b2a0b,2017-04-03,19
547,air_04cae7c1bc9b2a0b,2017-04-05,4
548,air_04cae7c1bc9b2a0b,2017-04-07,29
549,air_04cae7c1bc9b2a0b,2017-04-08,23
550,air_04cae7c1bc9b2a0b,2017-04-11,29
551,air_04cae7c1bc9b2a0b,2017-04-12,3
552,air_04cae7c1bc9b2a0b,2017-04-14,51
553,air_04cae7c1bc9b2a0b,2017-04-15,15
554,air_04cae7c1bc9b2a0b,2017-04-16,4
555,air_04cae7c1bc9b2a0b,2017-04-17,2
556,air_04cae7c1bc9b2a0b,2017-04-18,1
557,air_04cae7c1bc9b2a0b,2017-04-19,14
558,air_04cae7c1bc9b2a0b,2017-04-20,5
559,air_04cae7c1bc9b2a0b,2017-04-21,14
560,air_04cae7c1bc9b2a0b,2017-04-22,16
561,air_04cae7c1bc9b2a0b,2017-04-23,11
562,air_04cae7c1bc9b2a0b,2017-04-25,10
563,air_04cae7c1bc9b2a0b,2017-04-26,2
564,air_04cae7c1bc9b2a0b,2017-05-20,5
565,air_066f0221b8a4d533,2016-10-28,11
566,air_066f0221b8a4d533,2016-10-29,15
567,air_066f0221b8a4d533,2016-11-03,11
568,air_066f0221b8a4d533,2016-11-04,12
569,air_066f0221b8a4d533,2016-11-09,3
570,air_066f0221b8a4d533,2016-11-11,10
571,air_066f0221b8a4d533,2016-11-12,6
572,air_066f0221b8a4d533,2016-11-14,5
573,air_066f0221b8a4d533,2016-11-17,2
574,air_066f0221b8a4d533,2016-11-18,2
575,air_066f0221b8a4d533,2016-11-19,10
576,air_066f0221b8a4d533,2016-11-22,8
577,air_066f0221b8a4d533,2016-11-26,20
578,air_066f0221b8a4d533,2016-11-29,13
579,air_066f0221b8a4d533,2016-11-30,11
580,air_066f0221b8a4d533,2016-12-01,8
581,air_066f0221b8a4d533,2016-12-02,7
582,air_066f0221b8a4d533,2016-12-03,11
583,air_066f0221b8a4d533,2016-12-09,18
584,air_066f0221b8a4d533,2016-12-10,13
